NOTE,id,Moy_Pontage_de_fissures,Moy_Comblage_de_trou_ou_Projection_d_enrobe,Moy_Longitudinale,Moy_Transversale,Moy_Nid_de_poule,Moy_Faiencage,Moy_Arrachement_pelade,Moy_Remblaiement_de_tranchees
10.0,D10_PR100_800_PR100_1007,0.0,0.0,0.255904,0.0,0.0,0.0,0.102254,0.0
10.0,D10_PR101_0_PR101_200,0.0,0.0,0.06805549999999999,0.00625,0.0,0.0,0.08541660000000001,0.00625
10.0,D10_PR101_200_PR101_400,0.0,0.0,0.029861099999999998,0.0,0.0,0.0,0.104861,0.0
10.0,D10_PR101_400_PR101_600,0.0,0.0,0.0,0.00625,0.0,0.0,0.06875,0.0
10.0,D10_PR101_600_PR101_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0118056,0.0
10.0,D10_PR101_800_PR101_995,0.0,0.0,0.0,0.0,0.0,0.0,0.22150999999999998,0.0
10.0,D10_PR102_0_PR102_200,0.0,0.0,0.0305555,0.00555555,0.0,0.0,0.32222199999999995,0.0
9.8,D10_PR102_200_PR102_400,0.0,0.0,0.00625,0.00625,0.0,0.0,0.125,0.0
9.96,D10_PR102_400_PR102_600,0.0,0.0,0.0972222,0.00625,0.0,0.00555555,0.10763900000000001,0.0
10.0,D10_PR102_600_PR102_800,0.0,0.0,0.04375,0.00625,0.0,0.0,0.26875,0.0
10.0,D10_PR102_800_PR102_996,0.0,0.0,0.0,0.0,0.0,0.0,0.0736961,0.0
10.0,D10_PR103_0_PR103_200,0.0,0.0,0.0243055,0.0,0.0,0.0,0.0611111,0.0
10.0,D10_PR103_200_PR103_400,0.0,0.0,0.0305555,0.017361099999999997,0.0,0.0,0.07361110000000001,0.0
10.0,D10_PR103_400_PR103_600,0.0,0.0,0.0305555,0.0,0.0,0.0,0.127778,0.0
10.0,D10_PR103_600_PR103_800,0.0,0.0,0.00625,0.0125,0.0,0.0,0.08819439999999999,0.0
10.0,D10_PR103_800_PR103_1007,0.0,0.0,0.00603865,0.0,0.0,0.0,0.05434780000000001,0.0
10.0,D10_PR104_0_PR104_200,0.0,0.0,0.01875,0.0125,0.0,0.0,0.0357955,0.0
10.0,D10_PR104_200_PR104_400,0.0,0.0,0.01875,0.0,0.0,0.0,0.0696428,0.0
10.0,D10_PR104_400_PR104_527,0.0,0.0,0.03125,0.0,0.0,0.0,0.046875,0.0
9.82,D10_PR105_0_PR105_200,0.0,0.0,0.05,0.0125,0.0,0.0,0.0375,0.0375
10.0,D10_PR105_200_PR105_400,0.0,0.0,0.1875,0.0,0.0,0.0,0.01875,0.0
10.0,D10_PR105_400_PR105_600,0.0,0.0,0.107143,0.00625,0.0,0.0,0.00625,0.0
10.0,D10_PR105_600_PR105_800,0.0,0.0,0.11964300000000001,0.01875,0.0,0.0,0.00625,0.0
9.91837,D10_PR105_800_PR105_996,0.0,0.0,0.026166200000000004,0.057398000000000005,0.0,0.0,0.00637755,0.0
10.0,D10_PR106_0_PR106_200,0.0,0.0,0.03125,0.05625,0.0,0.0,0.03125,0.0
10.0,D10_PR106_200_PR106_306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9975,D10_PR107_0_PR107_200,0.622222,0.01875,0.375397,0.01875,0.0,0.0,0.05,0.1375
