NOTE,id,Moy_Pontage,Moy_Comblage,Moy_Longitudinale,Moy_Transversale,Moy_Nid_de_poule,Moy_Faiencage,Moy_Arrachement_pelade,Moy_Remblaiement
8.0,CD33 - D10E8_TRONROUT0000000051598141_0_TRONROUT0000000051598141_21,0.380952,0.0,0.0952381,0.0,0.0,0.0,0.0,0.047619
10.0,CD33 - D10E8_TRONROUT0000000051598142_0_TRONROUT0000000051598142_13,0.0,0.0,0.6153850000000001,0.307692,0.0,0.0,0.0,0.0
10.0,CD33 - D10E8_TRONROUT0000000051598147_0_TRONROUT0000000051598147_7,0.0,0.0,0.28571399999999997,0.0,0.0,0.0,0.0,0.0
9.074689999999999,CD33 - D10E8_TRONROUT0000000051600213_0_TRONROUT0000000051600213_241,0.0164609,0.0,0.567901,0.028806599999999998,0.0,0.0,0.0164609,0.061728399999999996
8.17949,CD33 - D10E8_TRONROUT0000000051600215_0_TRONROUT0000000051600215_48,0.638889,0.0,0.08333330000000001,0.027777800000000002,0.0,0.027777800000000002,0.11111099999999999,0.0
8.0,CD33 - D10E8_TRONROUT0000000051600220_0_TRONROUT0000000051600220_52,1.6470599999999997,0.0,0.9215690000000001,0.0196078,0.0,0.0196078,0.0,0.0196078
5.0,CD33 - D10E8_TRONROUT0000000051600225_0_TRONROUT0000000051600225_4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
5.125,CD33 - D10E8_TRONROUT0000000051600226_0_TRONROUT0000000051600226_112,0.1875,0.00892857,0.9464290000000001,0.07142860000000001,0.0,0.035714300000000004,0.125,0.14285699999999998
7.42857,CD33 - D10E8_TRONROUT0000000051600230_0_TRONROUT0000000051600230_36,0.22222199999999998,0.0,1.02778,0.305556,0.0,0.0,0.027777800000000002,0.11111099999999999
5.57353,CD33 - D10E8_TRONROUT0000000051600233_0_TRONROUT0000000051600233_69,0.228571,0.0,1.0,0.0142857,0.0,0.0,0.0142857,0.128571
9.673910000000001,CD33 - D10E8_TRONROUT0000002245358594_0_TRONROUT0000002245358594_231,0.297414,0.0,0.116379,0.0,0.0,0.0,0.0215517,0.0215517
10.0,CD33 - D119_TRONROUT0000000051537363_0_TRONROUT0000000051537363_228,0.0,0.0289017,0.0,0.0,0.0,0.0,0.0924855,0.0
10.0,CD33 - D119_TRONROUT0000000051541349_0_TRONROUT0000000051541349_209,0.0,0.0,0.0141509,0.0,0.0,0.0,0.231132,0.0
10.0,CD33 - D119_TRONROUT0000000051541350_0_TRONROUT0000000051541350_90,0.0,0.0,0.0348837,0.0,0.0,0.0,0.104651,0.0465116
10.0,CD33 - D119_TRONROUT0000002003962743_0_TRONROUT0000002003962743_48,0.0,0.0,0.0,0.0,0.0,0.0,0.229167,0.0
9.02113,CD33 - D123_TRONROUT0000000051545493_0_TRONROUT0000000051545493_284,0.0,0.00350877,0.0666667,0.0596491,0.0,0.010526299999999999,0.203509,0.0
8.14356,CD33 - D123_TRONROUT0000000051545500_0_TRONROUT0000000051545500_203,0.0,0.014851499999999998,0.0,0.0,0.0,0.0,0.148515,0.0
9.67949,CD33 - D123_TRONROUT0000000051545501_0_TRONROUT0000000051545501_78,0.0,0.0,0.0,0.0506329,0.012658200000000001,0.0,0.06329109999999999,0.0
8.87097,CD33 - D123_TRONROUT0000000051545507_0_TRONROUT0000000051545507_33,0.0,0.0,0.0,0.0,0.0333333,0.0,0.166667,0.0
8.85678,CD33 - D123_TRONROUT0000000051549106_0_TRONROUT0000000051549106_200,0.0,0.019802,0.0643564,0.0,0.0,0.0,0.158416,0.00495049
6.16,CD33 - D123_TRONROUT0000000051549106_200_TRONROUT0000000051549106_400,0.0,0.0,0.095,0.0,0.0,0.0,0.23,0.0
9.2725,CD33 - D123_TRONROUT0000000051549106_400_TRONROUT0000000051549106_600,0.0,0.0,0.025,0.0,0.0,0.005,0.06,0.0
