NOTE,id,Arrachement pelade,Arrachement peignage,Arrachement plumage,Autres réparations,Faiencage grave,Faiencage significatif,Longitudinale grave,Longitudinale significatif,Pontage,Transversale grave,Transversale significatif,Réparation en BB
9.575,D10_PR28_600_PR28_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0
8.79397,D10_PR28_800_PR28_999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.241206,0.0,0.0,0.0,0.0
9.88439,D10_PR29_0_PR29_185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021621599999999998,0.0,0.0,0.0,0.0
10.0,D10_PR29_185_PR29_401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR30_0_PR30_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR30_200_PR30_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,D10_PR30_400_PR30_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.05,D10_PR30_600_PR30_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0
10.0,D10_PR30_800_PR30_1017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.76,D10_PR31_0_PR31_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
7.375,D10_PR31_200_PR31_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.525,0.0,0.0,0.0,0.0
8.9,D10_PR31_400_PR31_600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0
6.5,D10_PR31_600_PR31_800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.03,0.28
10.0,D10_PR31_800_PR31_1005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.984919999999999,D10_PR32_0_PR32_200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005
9.675,D10_PR32_200_PR32_400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0
